School,School Code,Attendance Year,School Type,School Category,EQ Zone,Region,Local Government Area,FTE Days Attended,Possible Attendance Days,Attendance Rate
Back Plains State School,317,2012,State School,Primary,Rural,Darling Downs South West,Toowoomba (R),1086,1140,95.3%
Back Plains State School,317,2013,State School,Primary,Rural,Darling Downs South West,Toowoomba (R),1172.5,1232,95.2%
Back Plains State School,317,2014,State School,Primary,Rural,Darling Downs South West,Toowoomba (R),2232.5,2400,93.0%
Back Plains State School,317,2015,State School,Primary,Rural,Darling Downs South West,Toowoomba (R),2093,2211,94.7%
Bajool State School,906,2011,State School,Primary,Rural,Central Queensland,Rockhampton (R),3072.5,3211,95.7%
Bajool State School,906,2012,State School,Primary,Rural,Central Queensland,Rockhampton (R),3373,3515,96.0%
Bajool State School,906,2013,State School,Primary,Rural,Central Queensland,Rockhampton (R),2987.5,3161,94.5%
Bajool State School,906,2014,State School,Primary,Rural,Central Queensland,Rockhampton (R),3329,3459,96.2%
Bajool State School,906,2015,State School,Primary,Rural,Central Queensland,Rockhampton (R),3321.5,3570,93.0%
Balaclava State School,1689,2011,State School,Primary,Metropolitan,Far North Queensland,Cairns (R),21113,24690,85.5%
Balaclava State School,1689,2012,State School,Primary,Metropolitan,Far North Queensland,Cairns (R),21301.5,25325,84.1%
Balaclava State School,1689,2013,State School,Primary,Metropolitan,Far North Queensland,Cairns (R),23372,27072,86.3%
Balaclava State School,1689,2014,State School,Primary,Metropolitan,Far North Queensland,Cairns (R),26662.5,30815,86.5%
Balaclava State School,1689,2015,State School,Primary,Metropolitan,Far North Queensland,Cairns (R),26276.5,29478.5,89.1%
Bald Hills State School,4,2011,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),55051.5,59667,92.3%
Bald Hills State School,4,2012,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),53071,57124,92.9%
Bald Hills State School,4,2013,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),52056,55752.5,93.4%
Bald Hills State School,4,2014,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),56078,60138,93.2%
Bald Hills State School,4,2015,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),55376.5,59067,93.8%
Ballandean State School,1164,2011,State School,Primary,Rural,Darling Downs South West,Southern Downs (R),7018.5,7425,94.5%
Ballandean State School,1164,2012,State School,Primary,Rural,Darling Downs South West,Southern Downs (R),6476,6852,94.5%
Ballandean State School,1164,2013,State School,Primary,Rural,Darling Downs South West,Southern Downs (R),5316,5700,93.3%
Ballandean State School,1164,2014,State School,Primary,Rural,Darling Downs South West,Southern Downs (R),5989.5,6400,93.6%
Ballandean State School,1164,2015,State School,Primary,Rural,Darling Downs South West,Southern Downs (R),4604,4828,95.4%
Balmoral State High School,2043,2011,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),42467.5,48014,88.4%
Balmoral State High School,2043,2012,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),37600.5,42053,89.4%
Balmoral State High School,2043,2013,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),34976.5,39389,88.8%
Balmoral State High School,2043,2014,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),34640,38766,89.4%
Balmoral State High School,2043,2015,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),37820.5,41757,90.6%
Bambaroo State School,1367,2011,State School,Primary,Rural,North Queensland,Hinchinbrook (S),893.5,990,90.3%
Bambaroo State School,1367,2012,State School,Primary,Rural,North Queensland,Hinchinbrook (S),543.5,572,95.0%
Bambaroo State School,1367,2013,State School,Primary,Rural,North Queensland,Hinchinbrook (S),638,682,93.5%
Bambaroo State School,1367,2014,State School,Primary,Rural,North Queensland,Hinchinbrook (S),231,276,83.7%
Bambaroo State School,1367,2015,State School,Primary,Rural,North Queensland,Hinchinbrook (S),213.5,240,89.0%
Banana State School,521,2011,State School,Primary,Rural,Central Queensland,Banana (S),3815.5,4059,94.0%
Banana State School,521,2012,State School,Primary,Rural,Central Queensland,Banana (S),2981.5,3236,92.1%
Banana State School,521,2013,State School,Primary,Rural,Central Queensland,Banana (S),3908.5,4308,90.7%
Banana State School,521,2014,State School,Primary,Rural,Central Queensland,Banana (S),3762.5,4094,91.9%
Banana State School,521,2015,State School,Primary,Rural,Central Queensland,Banana (S),3999.5,4221,94.8%
Banksia Beach State School,1989,2011,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),84127.5,90601,92.9%
Banksia Beach State School,1989,2012,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),88691.5,95960,92.4%
Banksia Beach State School,1989,2013,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),91630,100168,91.5%
Banksia Beach State School,1989,2014,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),98927.5,106970,92.5%
Banksia Beach State School,1989,2015,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),95746.5,103232,92.7%
Baralaba State School,1605,2011,State School,Combined,Rural,Central Queensland,Banana (S),6277.5,7499,83.7%
Baralaba State School,1605,2012,State School,Combined,Rural,Central Queensland,Banana (S),6738,8126,82.9%
Baralaba State School,1605,2013,State School,Combined,Rural,Central Queensland,Banana (S),7693.5,8833,87.1%
Baralaba State School,1605,2014,State School,Combined,Rural,Central Queensland,Banana (S),9571,10945,87.4%
Baralaba State School,1605,2015,State School,Combined,Rural,Central Queensland,Banana (S),8807,10029,87.8%
Barcaldine Prep-12 State School,531,2011,State School,Combined,Remote,Central Queensland,Barcaldine (R),23956,26152,91.6%
Barcaldine Prep-12 State School,531,2012,State School,Combined,Remote,Central Queensland,Barcaldine (R),21423,23655,90.6%
Barcaldine Prep-12 State School,531,2013,State School,Combined,Remote,Central Queensland,Barcaldine (R),22013,24450,90.0%
Barcaldine Prep-12 State School,531,2014,State School,Combined,Remote,Central Queensland,Barcaldine (R),22086,24444,90.4%
Barcaldine Prep-12 State School,531,2015,State School,Combined,Remote,Central Queensland,Barcaldine (R),23409,25958,90.2%
Bardon State School,1041,2011,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),22578,23812,94.8%
Bardon State School,1041,2012,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),24462,25856,94.6%
Bardon State School,1041,2013,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),27138.5,28677,94.6%
Bardon State School,1041,2014,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),29422.5,31157,94.4%
Bardon State School,1041,2015,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),30262.5,31748,95.3%
Bargara State School,702,2011,State School,Primary,Provincial City,North Coast,Bundaberg (R),27708,30379,91.2%
Bargara State School,702,2012,State School,Primary,Provincial City,North Coast,Bundaberg (R),28133.5,30766,91.4%
Bargara State School,702,2013,State School,Primary,Provincial City,North Coast,Bundaberg (R),29754.5,32475.5,91.6%
Bargara State School,702,2014,State School,Primary,Provincial City,North Coast,Bundaberg (R),33307,36033,92.4%
Bargara State School,702,2015,State School,Primary,Provincial City,North Coast,Bundaberg (R),28681,31165,92.0%
Barkly Highway State School,777,2011,State School,Primary,Remote,North Queensland,Mount Isa (C),45750,51708,88.5%
Barkly Highway State School,777,2012,State School,Primary,Remote,North Queensland,Mount Isa (C),46531.5,50836,91.5%
Barkly Highway State School,777,2013,State School,Primary,Remote,North Queensland,Mount Isa (C),45550,50035.5,91.0%
Barkly Highway State School,777,2014,State School,Primary,Remote,North Queensland,Mount Isa (C),43535,47716,91.2%
Barkly Highway State School,777,2015,State School,Primary,Remote,North Queensland,Mount Isa (C),38833,41774.5,93.0%
Barrett Adolescent Centre Special School,3056,2011,Specific Purpose School,Special,Metropolitan,Metropolitan,Brisbane (C),1066,1066,100.0%
Barrett Adolescent Centre Special School,3056,2012,Specific Purpose School,Special,Metropolitan,Metropolitan,Brisbane (C),1098,1098,100.0%
Barrett Adolescent Centre Special School,3056,2013,Specific Purpose School,Special,Metropolitan,Metropolitan,Brisbane (C),1699,1699,100.0%
Barrett Adolescent Centre Special School,3056,2014,Specific Purpose School,Special,Metropolitan,Metropolitan,Brisbane (C),722,722,100.0%
Barrett Adolescent Centre Special School,3056,2015,Specific Purpose School,Special,Metropolitan,Metropolitan,Brisbane (C),194,194,100.0%
Bartle Frere State School,1730,2011,State School,Primary,Rural,Far North Queensland,Cairns (R),1495.5,1683,88.9%
Bartle Frere State School,1730,2012,State School,Primary,Rural,Far North Queensland,Cairns (R),1623.5,1728,94.0%
Bartle Frere State School,1730,2013,State School,Primary,Rural,Far North Queensland,Cairns (R),1508,1620.5,93.1%
Bartle Frere State School,1730,2014,State School,Primary,Rural,Far North Queensland,Cairns (R),1594.5,1873,85.1%
Bartle Frere State School,1730,2015,State School,Primary,Rural,Far North Queensland,Cairns (R),1074,1164,92.3%
Bauhinia State School,387,2011,State School,Primary,Remote,Central Queensland,Central Highlands (R),837,995,84.1%
Bauhinia State School,387,2012,State School,Primary,Remote,Central Queensland,Central Highlands (R),972,1097,88.6%
Bauhinia State School,387,2013,State School,Primary,Remote,Central Queensland,Central Highlands (R),1285,1405,91.5%
Bauhinia State School,387,2014,State School,Primary,Remote,Central Queensland,Central Highlands (R),1440,1653,87.1%
Bauhinia State School,387,2015,State School,Primary,Remote,Central Queensland,Central Highlands (R),1965.5,2207,89.1%
Bauple State School,966,2011,State School,Primary,Rural,North Coast,Fraser Coast (R),5788,6296,91.9%
Bauple State School,966,2012,State School,Primary,Rural,North Coast,Fraser Coast (R),5300,5733,92.4%
Bauple State School,966,2013,State School,Primary,Rural,North Coast,Fraser Coast (R),5869,6274,93.5%
Bauple State School,966,2014,State School,Primary,Rural,North Coast,Fraser Coast (R),6337,6945,91.2%
Bauple State School,966,2015,State School,Primary,Rural,North Coast,Fraser Coast (R),5782.5,6378,90.7%
Bay View State School,1798,2011,State School,Primary,Metropolitan,South East,Redland (C),37608,39777,94.5%
Bay View State School,1798,2012,State School,Primary,Metropolitan,South East,Redland (C),45518.5,48359.5,94.1%
Bay View State School,1798,2013,State School,Primary,Metropolitan,South East,Redland (C),49087.5,52604,93.3%
Bay View State School,1798,2014,State School,Primary,Metropolitan,South East,Redland (C),59688,63634.5,93.8%
Bay View State School,1798,2015,State School,Primary,Metropolitan,South East,Redland (C),60125,64267,93.6%
Beachmere State School,1961,2011,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),33475.5,36340,92.1%
Beachmere State School,1961,2012,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),29506.5,32534,90.7%
Beachmere State School,1961,2013,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),27980.5,30897.5,90.6%
Beachmere State School,1961,2014,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),30320.5,33363,90.9%
Beachmere State School,1961,2015,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),26793,30109,89.0%
Beaconsfield State School,1672,2011,State School,Primary,Provincial City,Central Queensland,Mackay (R),39456,43691,90.3%
Beaconsfield State School,1672,2012,State School,Primary,Provincial City,Central Queensland,Mackay (R),34347.5,37908,90.6%
Beaconsfield State School,1672,2013,State School,Primary,Provincial City,Central Queensland,Mackay (R),29175,32143.5,90.8%
Beaconsfield State School,1672,2014,State School,Primary,Provincial City,Central Queensland,Mackay (R),26070.5,28622.5,91.1%
Beaconsfield State School,1672,2015,State School,Primary,Provincial City,Central Queensland,Mackay (R),26530.5,28862,91.9%
Beaudesert State High School,2083,2011,State High School,Secondary,Rural,South East,Scenic Rim (R),124869,135952,91.8%
Beaudesert State High School,2083,2012,State High School,Secondary,Rural,South East,Scenic Rim (R),118193.5,132033.5,89.5%
Beaudesert State High School,2083,2013,State High School,Secondary,Rural,South East,Scenic Rim (R),113821.5,131024,86.9%
Beaudesert State High School,2083,2014,State High School,Secondary,Rural,South East,Scenic Rim (R),115655.5,130630,88.5%
Beaudesert State High School,2083,2015,State High School,Secondary,Rural,South East,Scenic Rim (R),131966.5,149941,88.0%
Beaudesert State School,158,2011,State School,Primary,Rural,South East,Scenic Rim (R),49684,54273,91.5%
Beaudesert State School,158,2012,State School,Primary,Rural,South East,Scenic Rim (R),50416,56681.5,88.9%
Beaudesert State School,158,2013,State School,Primary,Rural,South East,Scenic Rim (R),54114,60033.5,90.1%
Beaudesert State School,158,2014,State School,Primary,Rural,South East,Scenic Rim (R),62483,69045,90.5%
Beaudesert State School,158,2015,State School,Primary,Rural,South East,Scenic Rim (R),59368.5,64439,92.1%
Bedourie State School,1019,2011,State School,Primary,Remote,Central Queensland,Diamantina (S),1160,1226,94.6%
Bedourie State School,1019,2012,State School,Primary,Remote,Central Queensland,Diamantina (S),1172.5,1265,92.7%
Bedourie State School,1019,2013,State School,Primary,Remote,Central Queensland,Diamantina (S),1103,1218,90.6%
Bedourie State School,1019,2014,State School,Primary,Remote,Central Queensland,Diamantina (S),853.5,919,92.9%
Bedourie State School,1019,2015,State School,Primary,Remote,Central Queensland,Diamantina (S),1122,1180,95.1%
Beechmont State School,681,2011,State School,Primary,Rural,South East,Scenic Rim (R),13054.5,14072,92.8%
Beechmont State School,681,2012,State School,Primary,Rural,South East,Scenic Rim (R),11959.5,12794,93.5%
Beechmont State School,681,2013,State School,Primary,Rural,South East,Scenic Rim (R),10737,11996,89.5%
Beechmont State School,681,2014,State School,Primary,Rural,South East,Scenic Rim (R),10390,11353,91.5%
Beechmont State School,681,2015,State School,Primary,Rural,South East,Scenic Rim (R),10802.5,11609,93.1%
Beenleigh Special School,3051,2011,Special School,Special,Metropolitan,South East,Logan (C),7610,8415,90.4%
Beenleigh Special School,3051,2012,Special School,Special,Metropolitan,South East,Logan (C),6684.5,7774,86.0%
Beenleigh Special School,3051,2013,Special School,Special,Metropolitan,South East,Logan (C),6375,7373,86.5%
Beenleigh Special School,3051,2014,Special School,Special,Metropolitan,South East,Logan (C),6551,7466,87.7%
Beenleigh Special School,3051,2015,Special School,Special,Metropolitan,South East,Logan (C),7375.5,8484,86.9%
Beenleigh State High School,2084,2011,State High School,Secondary,Metropolitan,South East,Logan (C),70344,84519.5,83.2%
Beenleigh State High School,2084,2012,State High School,Secondary,Metropolitan,South East,Logan (C),67673,80440.5,84.1%
Beenleigh State High School,2084,2013,State High School,Secondary,Metropolitan,South East,Logan (C),77701.5,93334,83.3%
Beenleigh State High School,2084,2014,State High School,Secondary,Metropolitan,South East,Logan (C),84499,97278,86.9%
Beenleigh State High School,2084,2015,State High School,Secondary,Metropolitan,South East,Logan (C),96228.5,109559,87.8%
Beenleigh State School,6,2011,State School,Primary,Metropolitan,South East,Logan (C),37442.5,41005,91.3%
